Task,,,hosp_mortality,hosp_mortality,hosp_mortality,los_7d,los_7d,los_7d
Validation Set,,,val_15,val_20,val_21,val_15,val_20,val_21
Metric,Attribute,Class,,,,,,
AUROC,,Overall,0.809 (0.805 - 0.813),0.796 (0.792 - 0.800),0.777 (0.769 - 0.785),0.649 (0.647 - 0.650),0.642 (0.637 - 0.648),0.638 (0.634 - 0.642)
AUROC,ethnicity,African American,0.827 (0.817 - 0.837),0.794 (0.783 - 0.806),0.795 (0.776 - 0.815),0.657 (0.641 - 0.673),0.648 (0.633 - 0.662),0.662 (0.646 - 0.679)
AUROC,ethnicity,Asian,0.765 (0.716 - 0.813),0.878 (0.852 - 0.904),0.730 (0.694 - 0.766),0.559 (0.519 - 0.599),0.649 (0.609 - 0.688),0.639 (0.591 - 0.686)
AUROC,ethnicity,Caucasian,0.804 (0.799 - 0.810),0.802 (0.799 - 0.804),0.780 (0.771 - 0.789),0.644 (0.641 - 0.647),0.647 (0.642 - 0.652),0.630 (0.624 - 0.636)
AUROC,ethnicity,Hispanic,0.829 (0.806 - 0.853),0.820 (0.780 - 0.860),0.762 (0.744 - 0.779),0.682 (0.659 - 0.706),0.708 (0.663 - 0.753),0.660 (0.637 - 0.683)
AUROC,ethnicity,Indigenous/Native,0.884 (0.847 - 0.920),0.796 (0.726 - 0.866),0.820 (0.738 - 0.902),0.602 (0.559 - 0.645),0.712 (0.666 - 0.757),0.665 (0.544 - 0.787)
AUROC,ethnicity,Other/Unknown,0.826 (0.810 - 0.842),0.769 (0.753 - 0.785),0.773 (0.742 - 0.804),0.686 (0.669 - 0.704),0.592 (0.579 - 0.605),0.679 (0.649 - 0.709)
AUROC,region,Midwest,0.800 (0.792 - 0.807),0.788 (0.781 - 0.795),0.769 (0.756 - 0.781),0.649 (0.643 - 0.655),0.649 (0.641 - 0.656),0.634 (0.628 - 0.640)
AUROC,region,Northeast,0.787 (0.775 - 0.799),0.805 (0.796 - 0.813),0.712 (0.678 - 0.747),0.632 (0.619 - 0.646),0.640 (0.630 - 0.650),0.663 (0.645 - 0.682)
AUROC,region,South,0.812 (0.807 - 0.818),0.794 (0.784 - 0.803),0.796 (0.790 - 0.803),0.653 (0.647 - 0.659),0.631 (0.622 - 0.640),0.629 (0.622 - 0.635)
AUROC,region,West,0.827 (0.820 - 0.835),0.832 (0.815 - 0.849),0.790 (0.762 - 0.817),0.645 (0.639 - 0.651),0.622 (0.600 - 0.644),0.721 (0.676 - 0.766)
