Task,,,hosp_mortality,hosp_mortality,hosp_mortality,los_7d,los_7d,los_7d
Validation Set,,,val_15,val_20,val_21,val_15,val_20,val_21
Metric,Attribute,Class,,,,,,
AUROC,,Overall,0.809 (0.806 - 0.812),0.793 (0.790 - 0.797),0.772 (0.766 - 0.778),0.641 (0.638 - 0.645),0.630 (0.626 - 0.634),0.641 (0.635 - 0.646)
AUROC,ethnicity,African American,0.829 (0.817 - 0.840),0.800 (0.789 - 0.811),0.782 (0.765 - 0.800),0.632 (0.617 - 0.647),0.620 (0.609 - 0.631),0.627 (0.609 - 0.644)
AUROC,ethnicity,Asian,0.746 (0.720 - 0.772),0.863 (0.833 - 0.893),0.749 (0.720 - 0.777),0.614 (0.595 - 0.633),0.633 (0.590 - 0.676),0.716 (0.684 - 0.748)
AUROC,ethnicity,Caucasian,0.806 (0.801 - 0.810),0.800 (0.798 - 0.803),0.778 (0.771 - 0.785),0.637 (0.633 - 0.641),0.634 (0.630 - 0.639),0.639 (0.632 - 0.645)
AUROC,ethnicity,Hispanic,0.843 (0.826 - 0.860),0.853 (0.808 - 0.898),0.740 (0.712 - 0.767),0.684 (0.662 - 0.706),0.670 (0.631 - 0.709),0.680 (0.656 - 0.705)
AUROC,ethnicity,Indigenous/Native,0.907 (0.885 - 0.929),0.827 (0.760 - 0.894),0.697 (0.609 - 0.785),0.598 (0.549 - 0.647),0.655 (0.616 - 0.694),0.781 (0.684 - 0.877)
AUROC,ethnicity,Other/Unknown,0.800 (0.782 - 0.819),0.741 (0.722 - 0.760),0.765 (0.732 - 0.797),0.698 (0.683 - 0.712),0.605 (0.595 - 0.614),0.640 (0.619 - 0.662)
AUROC,region,Midwest,0.800 (0.792 - 0.807),0.789 (0.783 - 0.795),0.763 (0.753 - 0.773),0.640 (0.632 - 0.648),0.629 (0.621 - 0.637),0.633 (0.626 - 0.640)
AUROC,region,Northeast,0.800 (0.789 - 0.810),0.814 (0.804 - 0.825),0.699 (0.658 - 0.740),0.615 (0.608 - 0.623),0.631 (0.625 - 0.637),0.672 (0.658 - 0.686)
AUROC,region,South,0.811 (0.805 - 0.817),0.780 (0.774 - 0.787),0.792 (0.785 - 0.800),0.650 (0.645 - 0.656),0.617 (0.612 - 0.623),0.636 (0.629 - 0.643)
AUROC,region,West,0.825 (0.819 - 0.832),0.814 (0.794 - 0.834),0.822 (0.796 - 0.848),0.638 (0.630 - 0.646),0.679 (0.663 - 0.695),0.729 (0.691 - 0.768)
