Task,,,hosp_mortality,hosp_mortality,hosp_mortality,los_7d,los_7d,los_7d
Validation Set,,,val_15,val_20,val_21,val_15,val_20,val_21
Metric,Attribute,Class,,,,,,
AUROC,,Overall,0.787 (0.782 - 0.793),0.772 (0.767 - 0.776),0.750 (0.742 - 0.758),0.626 (0.624 - 0.627),0.621 (0.616 - 0.626),0.606 (0.601 - 0.612)
AUROC,ethnicity,African American,0.816 (0.804 - 0.828),0.784 (0.776 - 0.793),0.772 (0.752 - 0.793),0.620 (0.603 - 0.638),0.609 (0.597 - 0.620),0.604 (0.587 - 0.622)
AUROC,ethnicity,Asian,0.725 (0.677 - 0.773),0.842 (0.811 - 0.872),0.682 (0.643 - 0.722),0.557 (0.522 - 0.593),0.644 (0.602 - 0.686),0.686 (0.653 - 0.719)
AUROC,ethnicity,Caucasian,0.780 (0.773 - 0.787),0.771 (0.766 - 0.775),0.754 (0.746 - 0.761),0.620 (0.617 - 0.622),0.626 (0.621 - 0.630),0.599 (0.592 - 0.606)
AUROC,ethnicity,Hispanic,0.802 (0.774 - 0.829),0.721 (0.670 - 0.771),0.738 (0.720 - 0.756),0.701 (0.684 - 0.719),0.711 (0.670 - 0.753),0.619 (0.605 - 0.632)
AUROC,ethnicity,Indigenous/Native,0.897 (0.857 - 0.937),0.855 (0.817 - 0.893),0.720 (0.585 - 0.855),0.687 (0.643 - 0.731),0.623 (0.568 - 0.678),0.488 (0.413 - 0.563)
AUROC,ethnicity,Other/Unknown,0.823 (0.804 - 0.842),0.772 (0.756 - 0.789),0.745 (0.719 - 0.772),0.671 (0.654 - 0.688),0.582 (0.566 - 0.598),0.693 (0.677 - 0.708)
AUROC,region,Midwest,0.771 (0.763 - 0.779),0.767 (0.758 - 0.775),0.747 (0.736 - 0.758),0.625 (0.618 - 0.632),0.627 (0.619 - 0.634),0.609 (0.601 - 0.618)
AUROC,region,Northeast,0.767 (0.755 - 0.779),0.760 (0.746 - 0.774),0.675 (0.636 - 0.714),0.583 (0.575 - 0.591),0.621 (0.610 - 0.632),0.649 (0.631 - 0.666)
AUROC,region,South,0.795 (0.788 - 0.803),0.777 (0.769 - 0.785),0.759 (0.753 - 0.765),0.633 (0.627 - 0.639),0.607 (0.598 - 0.617),0.576 (0.566 - 0.586)
AUROC,region,West,0.809 (0.802 - 0.815),0.805 (0.787 - 0.822),0.829 (0.800 - 0.858),0.631 (0.619 - 0.643),0.619 (0.607 - 0.631),0.768 (0.730 - 0.806)
